Vivado Simulator 2018.1
Time resolution is 1 ps
Time: 5000 | HEX:  x | BCD: xx
Time: 15000 | HEX:  0 | BCD: 00
Time: 25000 | HEX:  1 | BCD: 01
Time: 35000 | HEX:  2 | BCD: 02
Time: 45000 | HEX:  3 | BCD: 03
Time: 55000 | HEX:  4 | BCD: 04
Time: 65000 | HEX:  5 | BCD: 05
Time: 75000 | HEX:  6 | BCD: 06
Time: 85000 | HEX:  7 | BCD: 07
Time: 95000 | HEX:  8 | BCD: 08
Time: 105000 | HEX:  9 | BCD: 09
Time: 115000 | HEX: 10 | BCD: 10
Time: 125000 | HEX: 11 | BCD: 11
Time: 135000 | HEX: 12 | BCD: 12
Time: 145000 | HEX: 13 | BCD: 13
Time: 155000 | HEX: 14 | BCD: 14
Time: 165000 | HEX: 15 | BCD: 15
Time: 175000 | HEX:  0 | BCD: 00
Time: 185000 | HEX:  1 | BCD: 01
Time: 195000 | HEX:  2 | BCD: 02
Time: 205000 | HEX:  3 | BCD: 03
Time: 215000 | HEX:  4 | BCD: 04
Time: 225000 | HEX:  5 | BCD: 05
Time: 235000 | HEX:  6 | BCD: 06
Time: 245000 | HEX:  7 | BCD: 07
Time: 255000 | HEX:  8 | BCD: 08
Time: 265000 | HEX:  9 | BCD: 09
Time: 275000 | HEX: 10 | BCD: 10
Time: 285000 | HEX: 11 | BCD: 11
Time: 295000 | HEX: 12 | BCD: 12
Time: 305000 | HEX: 13 | BCD: 13
Time: 315000 | HEX: 14 | BCD: 14
Time: 325000 | HEX: 15 | BCD: 15
